PassengerId,Survived
892,0.039128095
893,0.32902378
894,0.07812002
895,0.059172243
896,0.48814118
897,0.07449293
898,0.4407498
899,0.038645476
900,0.77601945
901,0.035837412
902,0.054591566
903,0.17162973
904,0.99986494
905,0.056376398
906,0.999982
907,0.9891623
908,0.056662053
909,0.06899002
910,0.5049806
911,0.68065166
912,0.4255212
913,0.7637499
914,0.9997535
915,0.43014795
916,0.87538534
917,0.046301395
918,0.9999273
919,0.06547946
920,0.21769923
921,0.09984654
922,0.10588306
923,0.043032706
924,0.38281375
925,0.4367178
926,0.7361141
927,0.06975016
928,0.5817393
929,0.6003207
930,0.05848983
931,0.25210816
932,0.06861934
933,0.5514562
934,0.04473439
935,0.6612084
936,0.99997985
937,0.05289963
938,0.40735048
939,0.03797713
940,0.9999894
941,0.43532643
942,0.4392659
943,0.11110306
944,0.7260888
945,0.9934425
946,0.10144901
947,9.292364e-05
948,0.04744324
949,0.29732013
950,0.07220808
951,0.9997333
952,0.05764684
953,0.071079224
954,0.05579135
955,0.4478144
956,0.99999774
957,0.8132554
958,0.44760627
959,0.25427824
960,0.6637914
961,0.84760344
962,0.4476602
963,0.05188486
964,0.58691275
965,0.74197257
966,0.9993559
967,0.80830616
968,0.047861904
969,0.9526925
970,0.067902476
971,0.44750175
972,0.9506849
973,0.74464667
974,0.1581772
975,0.046756417
976,0.04899159
977,0.07351172
978,0.44759995
979,0.6091391
980,0.4147951
981,0.99997646
982,0.5873901
983,0.0456616
984,0.9985757
985,0.046159565
986,0.36930895
987,0.047235638
988,0.99995595
989,0.04580033
990,0.6060289
991,0.04439622
992,0.99998546
993,0.11888349
994,0.0346857
995,0.045995116
996,0.679303
997,0.09933874
998,0.038262963
999,0.034400463
1000,0.04636398
1001,0.59272075
1002,0.07568267
1003,0.44251144
1004,0.99934393
1005,0.4458265
1006,0.9997231
1007,0.077166885
1008,0.047201306
1009,0.99999535
1010,0.72129786
1011,0.87982285
1012,0.9621959
1013,0.029564202
1014,0.99998665
1015,0.042097718
1016,0.033447593
1017,0.5596355
1018,0.04534653
1019,0.38453797
1020,0.055350035
1021,0.04492715
1022,0.041900694
1023,0.31807262
1024,0.23118797
1025,0.042981237
1026,0.037519813
1027,0.04387948
1028,0.04860097
1029,0.062040657
1030,0.47469348
1031,6.106496e-05
1032,0.016215742
1033,0.9998707
1034,0.2586096
1035,0.119399756
1036,0.16219288
1037,0.043164402
1038,0.7340681
1039,0.043968618
1040,0.18627173
1041,0.063055575
1042,0.9999738
1043,0.04746145
1044,0.108276844
1045,0.42105094
1046,8.186698e-05
1047,0.041341543
1048,0.9999989
1049,0.60687697
1050,0.5279273
1051,0.49771786
1052,0.44193488
1053,0.76830864
1054,0.7840147
1055,0.037494272
1056,0.042214483
1057,0.53211
1058,0.5964249
1059,0.001145035
1060,0.99603426
1061,0.613612
1062,0.038077265
1063,0.044918627
1064,0.05371943
1065,0.043655366
1066,0.00021916628
1067,0.99363124
1068,0.9966923
1069,0.70281196
1070,0.99751526
1071,0.9999824
1072,0.05481738
1073,0.86197937
1074,0.9999709
1075,0.030334413
1076,0.9999981
1077,0.0587416
1078,0.7557552
1079,0.032223284
1080,0.0007285476
1081,0.04946187
1082,0.098299235
1083,0.1835368
1084,0.1035679
1085,0.027086139
1086,0.14803058
1087,0.03574103
1088,1.0
1089,0.6199291
1090,0.048809677
1091,0.64117545
1092,0.46493995
1093,0.99999976
1094,0.760279
1095,0.998803
1096,0.047386795
1097,0.31764102
1098,0.42169696
1099,0.04232979
1100,0.9958551
1101,0.037208825
1102,0.07765508
1103,0.033902675
1104,0.66956127
1105,0.7117443
1106,0.076467335
1107,0.3715041
1108,0.44278374
1109,0.5684882
1110,0.998801
1111,0.035228133
1112,0.8457366
1113,0.03783697
1114,0.9936224
1115,0.037147224
1116,0.9415908
1117,0.6773256
1118,0.03628519
1119,0.44175056
1120,0.046633333
1121,0.04698035
1122,0.89652777
1123,0.99587744
1124,0.031917125
1125,0.028125703
1126,0.7258301
1127,0.036625475
1128,0.8059108
1129,0.04311511
1130,0.6763569
1131,0.99998313
1132,0.94165957
1133,0.7118155
1134,0.71249336
1135,0.0331482
1136,0.038774908
1137,0.5163663
1138,0.8371983
1139,0.06556398
1140,0.80241853
1141,0.75069845
1142,0.9999934
1143,0.03552088
1144,0.6717409
1145,0.03695199
1146,0.034632206
1147,0.031697005
1148,0.026869476
1149,0.03298354
1150,0.7988068
1151,0.034333944
1152,0.048270285
1153,0.034336984
1154,0.7189476
1155,0.99716955
1156,0.08834648
1157,0.03162238
1158,0.05328065
1159,0.030883998
1160,0.6068276
1161,0.03764206
1162,0.79229075
1163,0.026206762
1164,0.99995935
1165,0.4124118
1166,0.035134494
1167,0.8707364
1168,0.039607853
1169,0.07843915
1170,0.06502968
1171,0.04140705
1172,0.6225859
1173,0.99965286
1174,0.4414951
1175,0.8948214
1176,0.99963224
1177,0.027718365
1178,0.029144764
1179,0.39018932
1180,0.39634657
1181,0.030279934
1182,0.24578184
1183,0.4350761
1184,0.03380364
1185,0.25922394
1186,0.030826837
1187,0.030638874
1188,0.99999917
1189,0.06575963
1190,0.26797605
1191,0.029534876
1192,0.028595239
1193,0.5817446
1194,0.05401516
1195,0.031971544
1196,0.4413929
1197,0.88556457
1198,0.46139663
1199,0.99998105
1200,0.35883757
1201,0.5555621
1202,0.03359413
1203,0.036585182
1204,0.028050512
1205,0.4144522
1206,0.9999952
1207,0.44822475
1208,0.53574103
1209,0.041901857
1210,0.028832108
1211,0.029664248
1212,0.028826535
1213,0.4691867
1214,0.5243264
1215,0.1772975
1216,0.9992936
1217,0.028095454
1218,0.9995847
1219,0.47484827
1220,0.07723096
1221,0.044091105
1222,0.7473124
1223,0.42862332
1224,0.030994684
1225,0.7177575
1226,0.027912289
1227,0.46932688
1228,0.038651317
1229,0.023856848
1230,0.10999724
1231,0.035690665
1232,0.04382807
1233,0.02587074
1234,3.7550926e-06
1235,0.9991975
1236,0.036651462
1237,0.6385772
1238,0.039806366
1239,0.7863935
1240,0.04144305
1241,0.8082105
1242,0.9999919
1243,0.03457409
1244,0.76072854
1245,0.041293263
1246,0.9999282
1247,0.62353414
1248,0.99983513
1249,0.02587241
1250,0.021758378
1251,0.607193
1252,3.2186508e-06
1253,0.9742707
1254,0.83490837
1255,0.027357131
1256,0.9999952
1257,0.0026902258
1258,0.040626585
1259,0.9292393
1260,0.9998592
1261,0.098315656
1262,0.03567159
1263,0.9999935
1264,0.07179907
1265,0.032218426
1266,0.99982226
1267,0.9978541
1268,0.4352887
1269,0.04073271
1270,0.47423583
1271,0.00034326315
1272,0.02073595
1273,0.021556765
1274,0.6793356
1275,0.637215
1276,0.035239756
1277,0.926118
1278,0.02540499
1279,0.027960539
1280,0.021998554
1281,0.016733706
1282,0.95791805
1283,0.99983406
1284,0.50629556
1285,0.026142836
1286,0.025374353
1287,0.99998605
1288,0.017115802
1289,0.9999366
1290,0.025179267
1291,0.019683689
1292,0.99999785
1293,0.046918392
1294,0.99982506
1295,0.9025356
1296,0.69751984
1297,0.27634954
1298,0.030984461
1299,0.47300178
1300,0.4406881
1301,0.9941476
1302,0.44090065
1303,0.9999514
1304,0.6246458
1305,0.023119092
1306,0.9999954
1307,0.020427585
1308,0.022968085
1309,0.06502441
